year;object_level;object_name;okato;oktmo;subsidies_for_equalizing;subventions;other_transfers;indicator_unit
2019;регион;Вологодская область;19000000;19000000;5056524.4;40135362.0;10584920.6;тысяча рублей
2019;регион;Санкт-Петербург;40000000;40000000;;45834537.0;3288874.0;тысяча рублей
2019;регион;Калининградская область;27000000;27000000;4992795.3;34653951.2;7115290.8;тысяча рублей
2019;регион;Ленинградская область;41000000;41000000;26714.7;30626465.6;2402763.9;тысяча рублей
2019;регион;Мурманская область;47000000;47000000;74119.5;18885558.6;10428807.8;тысяча рублей
2019;регион;Ненецкий автономный округ;11100000;11800000;;4713242.0;455644.9;тысяча рублей
2019;регион;Новгородская область;49000000;49000000;3040025.4;18657825.0;7643920.9;тысяча рублей
2019;регион;Псковская область;58000000;58000000;9919954.7;29169423.0;7564449.9;тысяча рублей
2019;регион;Республика Карелия;86000000;86000000;16230828.6;37760271.1;14690950.4;тысяча рублей
2019;регион;Республика Коми;87000000;87000000;689344.0;23188949.9;5508297.7;тысяча рублей
2019;федеральный округ;Северо-Кавказский федеральный округ;00000000;00000000;320957856.6;697508459.5;41120476.5;тысяча рублей
2019;регион;Кабардино-Балкарская Республика;83000000;83000000;25496723.2;55973847.2;3761560.7;тысяча рублей
2019;регион;Карачаево-Черкесская Республика;91000000;91000000;18293997.2;50190410.6;2295681.5;тысяча рублей
2019;регион;Республика Дагестан;82000000;82000000;132615403.6;218928723.5;10854501.8;тысяча рублей
2019;регион;Республика Ингушетия;26000000;26000000;20340872.3;61892861.6;2095710.8;тысяча рублей
2019;регион;Республика Северная Осетия — Алания;90000000;90000000;19082970.9;50106181.9;3803648.2;тысяча рублей
2019;регион;Ставропольский край;07000000;07000000;44197252.5;111842094.1;11208883.1;тысяча рублей
2019;регион;Чеченская Республика;96000000;96000000;60930636.9;148574340.6;7100490.4;тысяча рублей
2019;федеральный округ;Сибирский федеральный округ;00000000;00000000;178165389.7;586582828.9;138073310.2;тысяча рублей
2019;регион;Алтайский край;01000000;01000000;53691054.0;111885638.9;14280159.0;тысяча рублей
2019;регион;Иркутская область;25000000;25000000;11127751.6;70803155.0;17674909.2;тысяча рублей
2019;регион;Кемеровская область;32000000;32000000;13719350.6;77299709.8;18881341.0;тысяча рублей
2019;регион;Красноярский край;04000000;04000000;3625352.7;53509568.0;21449165.3;тысяча рублей
2019;регион;Новосибирская область;50000000;50000000;11645184.6;67129921.6;15528132.2;тысяча рублей
2019;регион;Омская область;52000000;52000000;14853562.7;58464740.3;27873924.9;тысяча рублей
2019;регион;Республика Алтай;84000000;84000000;19742040.2;38292848.3;3346056.7;тысяча рублей
2019;регион;Республика Тыва;93000000;93000000;33865195.6;51729607.3;3475683.0;тысяча рублей
2019;регион;Республика Хакасия;95000000;95000000;6319201.9;24361523.3;3747767.6;тысяча рублей
2019;регион;Томская область;69000000;69000000;9576695.8;33106116.4;11816171.3;тысяча рублей
2019;федеральный округ;Уральский федеральный округ;00000000;00000000;40149509.3;241508418.3;49264842.1;тысяча рублей
2019;регион;Курганская область;37000000;37000000;24699278.8;49962072.2;8907500.5;тысяча рублей
2019;регион;Свердловская область;65000000;65000000;51825.1;67149528.6;10892933.4;тысяча рублей
2019;регион;Тюменская область;71000000;71000000;5067.3;18528765.4;3551444.2;тысяча рублей
2019;регион;Ханты-Мансийский автономный округ — Югра;71100000;71800000;1909.5;22694427.3;5100696.4;тысяча рублей
2019;регион;Челябинская область;75000000;75000000;15391428.6;77476513.0;20107956.6;тысяча рублей
2019;регион;Ямало-Ненецкий автономный округ;71140000;71900000;;5697111.8;704311.0;тысяча рублей
2019;федеральный округ;Центральный федеральный округ;00000000;00000000;150489270.8;872580653.3;143466603.6;тысяча рублей
2019;регион;Белгородская область;14000000;14000000;4097977.4;52859752.6;7494712.7;тысяча рублей
2019;регион;Брянская область;15000000;15000000;24341166.4;68980905.6;6288861.1;тысяча рублей
2019;регион;Владимирская область;17000000;17000000;11406059.6;40331757.1;7306046.7;тысяча рублей
2019;регион;Воронежская область;20000000;20000000;14817784.9;73477544.9;9671201.0;тысяча рублей
2019;регион;Москва;45000000;45000000;;100076090.3;7376147.5;тысяча рублей
2019;регион;Ивановская область;24000000;24000000;23496777.7;47035783.4;6845366.8;тысяча рублей
2019;регион;Калужская область;29000000;29000000;7411.8;30092589.3;3089401.1;тысяча рублей
2019;регион;Костромская область;34000000;34000000;7046050.2;28912126.8;14653915.0;тысяча рублей
2019;регион;Курская область;38000000;38000000;8157459.3;38569223.0;6123610.9;тысяча рублей
2019;регион;Липецкая область;42000000;42000000;1745709.1;28215228.1;8552356.9;тысяча рублей
2019;регион;Московская область;46000000;46000000;40995.7;95586716.4;7880642.9;тысяча рублей
2019;регион;Орловская область;54000000;54000000;10902704.9;32726464.4;4521381.0;тысяча рублей
2019;регион;Рязанская область;61000000;61000000;7996453.6;45336699.2;9508998.4;тысяча рублей
2019;регион;Смоленская область;66000000;66000000;6536735.6;30411422.9;8397394.7;тысяча рублей
2019;регион;Тамбовская область;68000000;68000000;17319389.1;42871867.9;9230752.8;тысяча рублей
2019;регион;Тверская область;28000000;28000000;8726034.6;39837650.2;10288580.4;тысяча рублей
2019;регион;Тульская область;70000000;70000000;2257867.5;45489938.2;7644872.4;тысяча рублей
2019;регион;Ярославская область;78000000;78000000;1592693.4;31768893.0;8592361.3;тысяча рублей
2019;федеральный округ;Южный федеральный округ;00000000;00000000;133164743.6;901670789.2;92139461.0;тысяча рублей
2019;регион;Астраханская область;12000000;12000000;5571585.2;33681131.4;7686283.5;тысяча рублей
2019;регион;Волгоградская область;18000000;18000000;17982960.7;81119187.1;20827300.9;тысяча рублей
2019;регион;Краснодарский край;03000000;03000000;19493982.8;102640353.1;22228524.8;тысяча рублей
2019;регион;Республика Адыгея;79000000;79000000;8400913.4;30140521.8;2813154.0;тысяча рублей
2019;регион;Республика Калмыкия;85000000;85000000;7889817.3;22437782.6;3194964.2;тысяча рублей
2019;регион;Ростовская область;60000000;60000000;27266367.2;98967123.1;20317610.5;тысяча рублей
2018;страна;Российская Федерация;00000000;00000000;645144288.2;1429228265.6;244943561.2;тысяча рублей
2018;федеральный округ;Дальневосточный федеральный округ;00000000;00000000;149262897.0;101770290.0;23692709.4;тысяча рублей
2018;регион;Амурская область;10000000;10000000;3602260.5;10125752.4;1105662.8;тысяча рублей
2018;регион;Еврейская автономная область;99000000;99000000;1889765.5;1751406.0;179604.2;тысяча рублей
2018;регион;Забайкальский край;76000000;76000000;12131146.2;10429471.2;7515734.6;тысяча рублей
2018;регион;Камчатский край;30000000;30000000;39357697.2;5429029.6;3965803.2;тысяча рублей
2018;регион;Магаданская область;44000000;44000000;4977912.6;3719076.8;386990.6;тысяча рублей
2018;регион;Приморский край;05000000;05000000;8516042.5;20775279.0;3294425.0;тысяча рублей
2018;регион;Республика Бурятия;81000000;81000000;18298640.3;13961587.6;1542651.8;тысяча рублей
2018;регион;Республика Саха (Якутия);98000000;98000000;43944997.7;12587065.8;3383088.8;тысяча рублей
2018;регион;Сахалинская область;64000000;64000000;;3880167.0;93104.8;тысяча рублей
