Region,Year,male_pop1559,male_pop1549,ExcessByAge,TotalExcess_15_49,TotalExcess_15_59,ex_per100k_1549,ex_per100k_1559,Excessive Marriages,ex_nup_per100k
Москва,2022,3775904.0,3010526.0,"[np.float64(25.259012520580654), np.float64(178.0375748333372), np.float64(198.15629835621792), np.float64(201.2411321117554), np.float64(742.8376177532036), np.float64(249.57767480137682), np.float64(141.99565888044526), np.float64(78.45817077340598), np.float64(-351.073043223867)]",1737.1049692569168,1464.4900968064558,57.701045241161076,38.78515176250391,9116.600000000002,302.82415763889776
Москва,2023,3764665.0,2994816.0,"[np.float64(27.672505456216356), np.float64(193.91904884285577), np.float64(222.47584902680046), np.float64(244.48480279581963), np.float64(869.8206594396167), np.float64(308.05049456910456), np.float64(174.06700394196105), np.float64(69.50099095383712), np.float64(-402.5493968465835)]",2040.4903640723746,1707.4419581796283,68.13408116132592,45.35441953479601,9116.600000000002,304.4126917980939
Санкт-Петербург,2022,1657563.0,1329612.0,"[np.float64(-38.34516129032443), np.float64(-14.8041602500696), np.float64(-34.140414275990054), np.float64(46.40425415367122), np.float64(179.04372091174355), np.float64(-141.52450665773313), np.float64(-215.12598866113126), np.float64(-296.92892003431984), np.float64(-144.05461877357857)]",-218.4922560698337,-659.4757948777321,-16.432783102877657,-39.78586605020335,3449.3999999999996,259.4290665246703
Санкт-Петербург,2023,1638251.0,1308865.0,"[np.float64(-45.09516129032289), np.float64(-19.922690309002604), np.float64(-31.965185127556992), np.float64(62.936872293399745), np.float64(226.9639894035996), np.float64(-163.69342651827083), np.float64(-230.81512125744757), np.float64(-336.25476109153306), np.float64(-163.05109658883066)]",-201.59072280560153,-700.8965804859653,-15.401949231250093,-42.783223113305915,3449.3999999999996,263.5413125112215
Севастополь,2022,168467.0,136002.0,"[np.float64(2.1200000000003456), np.float64(10.074285714285736), np.float64(-78.72797385620902), np.float64(-19.252795001100992), np.float64(-11.588051948051543), np.float64(-96.91495160898194), np.float64(-7.7578923899758365), np.float64(-2.2424928496166103), np.float64(27.984624041628877)]",-202.04737909003325,-176.30524789802098,-148.56206459466276,-104.6526903773564,266.3999999999999,195.87947236070053
Севастополь,2023,171215.0,137859.0,"[np.float64(3.1600000000003092), np.float64(10.767857142857167), np.float64(-89.03686274509687), np.float64(-21.42865287635925), np.float64(-13.091601731601259), np.float64(-106.4868751681222), np.float64(-3.6429823417093985), np.float64(0.20926689748557692), np.float64(40.94665305447833)]",-219.7591177200315,-178.6031977680676,-159.40861149437578,-104.31515799904658,266.3999999999999,193.24092007050677
Еврейская АО,2022,44197.0,36314.0,"[np.float64(19.576923076923322), np.float64(2.152380952380952), np.float64(6.222727272726615), np.float64(-23.611730306157547), np.float64(-24.72567195767283), np.float64(-26.879473684210893), np.float64(-17.63430799220282), np.float64(-5.887705579659155), np.float64(-35.09587823940578)]",-64.8991526382132,-105.88273645727813,-178.71661793857243,-239.5699627967467,283.4,780.4152668392355
Еврейская АО,2023,43537.0,35584.0,"[np.float64(24.384615384616154), np.float64(2.173809523809524), np.float64(8.51363636363567), np.float64(-23.415479876160973), np.float64(-28.513005291006266), np.float64(-29.20368421052632), np.float64(-16.87875243664739), np.float64(-6.643615679548105), np.float64(-40.076353352529225)]",-62.9388605422796,-109.65882957435693,-176.8740460383307,-251.8750248624318,283.4,796.4253597122303
Забайкальский край,2022,298099.0,247240.0,"[np.float64(17.285909090909115), np.float64(20.13454545454465), np.float64(22.62147641831885), np.float64(-32.555443576857044), np.float64(23.553646825724968), np.float64(143.83364137130854), np.float64(92.54024391112796), np.float64(33.108879767088126), np.float64(37.75163697853759)]",287.414019495077,358.27453624070273,116.24899672183992,120.18642673766189,1819.4,735.8841611389743
Забайкальский край,2023,295485.0,245120.0,"[np.float64(18.116636363636516), np.float64(23.286363636363717), np.float64(20.68478058783373), np.float64(-38.808113328845366), np.float64(27.877357591376835), np.float64(166.93753895774148), np.float64(105.91468684483078), np.float64(29.639655213478534), np.float64(39.56168402634955)]",324.0092506529377,393.21058989276577,132.18393058621805,133.07294444481641,1819.4,742.2486945169713
